model,accuracy,precision_macro,recall_macro,f1_macro
linear_svm,0.8468950749464668,0.8460790830070215,0.8446646256570423,0.8450997958754025
logistic_regression,0.832119914346895,0.8321867374438696,0.8291483346768391,0.8298048822692135
complement_nb,0.7563169164882227,0.7608546008522875,0.750875822463249,0.7527901473017165
